,Email_ID,type,Trace_ID,Action,Date
0,1,email,1,commit changes,2017-04-14 10:42:39
1,2,email,2,commit changes,2017-04-14 10:52:55
2,3,email,2,commit changes,2017-04-14 10:52:56
3,4,email,2,commit changes,2017-04-14 10:52:57
4,5,email,2,commit changes,2017-04-14 10:52:58
5,6,email,2,commit changes,2017-04-14 10:52:59
6,7,email,2,commit changes,2017-04-14 10:53:00
7,39,email,2,commit changes,2017-04-14 14:42:28
8,8,email,3,commit changes,2017-04-14 10:55:56
9,29,email,3,close pull request,2017-04-14 11:23:11
10,30,email,3,automated comment issue,2017-04-14 11:23:42
11,9,email,4,commit changes,2017-04-14 10:57:46
12,10,email,4,commit changes,2017-04-14 10:57:47
13,11,email,4,commit changes,2017-04-14 10:57:48
14,12,email,4,commit changes,2017-04-14 10:57:49
15,13,email,4,commit changes,2017-04-14 10:57:50
16,14,email,4,commit changes,2017-04-14 10:57:51
17,15,email,4,commit changes,2017-04-14 10:57:52
18,16,email,4,commit changes,2017-04-14 10:57:53
19,17,email,4,commit changes,2017-04-14 10:57:54
20,18,email,4,commit changes,2017-04-14 10:57:55
21,19,email,4,commit changes,2017-04-14 10:57:56
22,20,email,4,commit changes,2017-04-14 10:57:57
23,21,email,4,commit changes,2017-04-14 10:57:58
24,22,email,4,commit changes,2017-04-14 10:57:59
25,23,email,4,commit changes,2017-04-14 10:58:00
26,24,email,4,commit changes,2017-04-14 10:58:01
27,25,email,4,commit changes,2017-04-14 10:58:02
28,26,email,4,commit changes,2017-04-14 10:58:03
29,27,email,4,commit changes,2017-04-14 10:58:04
30,28,email,4,commit changes,2017-04-14 10:58:05
31,32,email,4,close pull request,2017-04-14 11:40:12
32,31,email,5,build system update,2017-04-14 11:26:43
33,35,email,5,build system update,2017-04-14 13:20:41
34,42,email,5,build system update,2017-04-14 16:08:45
35,44,email,5,build system update,2017-04-14 18:13:42
36,99,email,5,build system update,2017-04-18 08:49:55
37,112,email,5,build system update,2017-04-18 10:51:17
38,156,email,5,build system update,2017-04-18 16:56:04
39,234,email,5,build system update,2017-04-19 11:51:33
40,33,email,6,assign issue,2017-04-14 13:05:42
41,34,email,6,issue update,2017-04-14 13:05:42
42,93,email,6,work started issue,2017-04-18 07:56:41
43,36,email,7,commit changes,2017-04-14 14:18:45
44,37,email,8,commit changes,2017-04-14 14:26:14
45,38,email,8,commit changes,2017-04-14 14:35:24
46,40,email,8,commit changes,2017-04-14 14:53:30
47,41,email,8,commit changes,2017-04-14 15:39:24
48,43,email,9,ask a question,2017-04-14 17:15:23
49,45,email,10,ask a question,2017-04-14 20:39:13
50,48,email,10,provide support,2017-04-16 07:27:20
51,46,email,11,ask a question,2017-04-16 03:49:18
52,49,email,11,provide support,2017-04-16 07:27:52
53,47,email,12,distribute situational awareness,2017-04-16 07:22:58
54,50,email,13,create issue,2017-04-16 07:31:41
55,51,email,13,provide support,2017-04-16 07:31:43
56,54,email,13,assign issue,2017-04-17 11:32:41
57,80,email,13,open pull request,2017-04-18 07:22:10
58,81,email,13,automated comment issue,2017-04-18 07:22:42
59,119,email,13,commit changes,2017-04-18 11:21:42
60,120,email,13,issue update,2017-04-18 11:22:41
61,121,email,13,resolve issue,2017-04-18 11:23:41
62,122,email,13,close pull request,2017-04-18 11:24:47
63,123,email,13,automated comment issue,2017-04-18 11:25:41
64,52,email,14,ask a question,2017-04-16 22:46:11
65,111,email,14,provide support,2017-04-18 10:44:12
66,160,email,14,close question,2017-04-19 03:40:13
67,53,email,15,ask a question,2017-04-17 10:08:36
68,82,email,15,provide support,2017-04-18 07:25:40
69,55,email,16,ask a question,2017-04-17 15:56:13
70,56,email,17,ask a question,2017-04-17 16:45:13
71,57,email,17,provide support,2017-04-17 17:40:41
72,58,email,17,update question,2017-04-17 17:49:25
73,59,email,17,provide support,2017-04-17 18:21:25
74,60,email,17,update question,2017-04-17 18:32:24
75,61,email,18,create issue,2017-04-18 01:35:42
76,62,email,18,issue update,2017-04-18 01:36:41
77,63,email,18,issue update,2017-04-18 01:37:41
78,64,email,18,issue update,2017-04-18 01:37:41
79,65,email,18,issue update,2017-04-18 01:52:41
80,66,email,18,issue update,2017-04-18 01:53:41
81,67,email,18,assign issue,2017-04-18 02:22:42
82,68,email,18,issue comment,2017-04-18 02:25:41
83,69,email,18,open pull request,2017-04-18 02:28:26
84,70,email,18,automated comment issue,2017-04-18 02:28:42
85,73,email,18,commit changes,2017-04-18 06:46:50
86,74,email,18,close pull request,2017-04-18 06:47:17
87,75,email,18,automated comment issue,2017-04-18 06:47:41
88,78,email,18,issue update,2017-04-18 07:07:41
89,79,email,18,resolve issue,2017-04-18 07:07:41
90,71,email,19,ask a question,2017-04-18 04:11:28
91,72,email,19,update question,2017-04-18 04:13:56
92,83,email,19,provide support,2017-04-18 07:29:15
93,176,email,19,ask a question,2017-04-19 07:57:38
94,177,email,19,provide support,2017-04-19 08:00:23
95,76,email,20,commit changes,2017-04-18 06:48:14
96,77,email,21,create issue,2017-04-18 07:04:42
97,87,email,21,issue comment,2017-04-18 07:42:42
98,94,email,21,issue comment,2017-04-18 08:08:42
99,108,email,21,commit changes,2017-04-18 09:28:42
100,109,email,21,issue comment,2017-04-18 09:31:41
101,168,email,21,issue update,2017-04-19 07:32:41
102,169,email,21,resolve issue,2017-04-19 07:32:41
103,170,email,21,assign issue,2017-04-19 07:32:41
104,84,email,22,issue update,2017-04-18 07:34:41
105,85,email,22,issue comment,2017-04-18 07:34:41
106,86,email,22,issue comment,2017-04-18 07:41:41
107,127,email,22,issue comment,2017-04-18 12:13:41
108,128,email,22,issue update,2017-04-18 12:13:41
109,131,email,22,issue comment,2017-04-18 12:17:41
110,136,email,22,issue comment,2017-04-18 12:34:42
111,162,email,22,issue comment,2017-04-19 06:14:41
112,167,email,22,issue comment,2017-04-19 07:08:41
113,171,email,22,issue update,2017-04-19 07:46:41
114,172,email,22,issue comment,2017-04-19 07:46:41
115,209,email,22,open pull request,2017-04-19 09:09:49
116,214,email,22,commit changes,2017-04-19 09:17:59
117,215,email,22,close pull request,2017-04-19 09:19:19
118,216,email,22,issue comment,2017-04-19 09:20:41
119,88,email,23,assign issue,2017-04-18 07:44:41
120,89,email,23,issue comment,2017-04-18 07:44:41
121,90,email,24,version release planning,2017-04-18 07:45:20
122,174,email,24,version release planning,2017-04-19 07:54:25
123,233,email,24,version release planning,2017-04-19 11:39:20
124,239,email,24,version release planning,2017-04-19 12:21:57
125,91,email,25,create issue,2017-04-18 07:54:41
126,92,email,25,issue update,2017-04-18 07:55:41
127,95,email,26,create issue,2017-04-18 08:11:41
128,96,email,27,create issue,2017-04-18 08:17:41
129,97,email,28,create issue,2017-04-18 08:19:41
130,98,email,29,create issue,2017-04-18 08:21:41
131,100,email,30,issue comment,2017-04-18 08:57:41
132,101,email,30,issue update,2017-04-18 08:59:41
133,104,email,30,issue comment,2017-04-18 09:00:50
134,102,email,31,create issue,2017-04-18 08:59:41
135,106,email,31,commit changes,2017-04-18 09:25:03
136,107,email,31,resolve issue,2017-04-18 09:25:41
137,103,email,32,commit changes,2017-04-18 09:00:40
138,105,email,33,commit changes,2017-04-18 09:08:19
139,110,email,34,create issue,2017-04-18 10:18:42
140,114,email,34,commit changes,2017-04-18 11:09:43
141,126,email,34,work started issue,2017-04-18 11:58:41
142,138,email,34,resolve issue,2017-04-18 12:40:41
143,113,email,35,commit changes,2017-04-18 11:08:29
144,124,email,35,commit changes,2017-04-18 11:38:19
145,115,email,36,open pull request,2017-04-18 11:10:54
146,117,email,36,commit changes,2017-04-18 11:21:09
147,118,email,36,commit changes,2017-04-18 11:21:10
148,125,email,36,close pull request,2017-04-18 11:42:51
149,129,email,37,open pull request,2017-04-18 12:14:39
150,132,email,37,commit changes,2017-04-18 12:26:07
151,133,email,37,close pull request,2017-04-18 12:26:22
152,116,email,38,commit changes,2017-04-18 11:17:25
153,130,email,39,create issue,2017-04-18 12:14:41
154,134,email,40,commit changes,2017-04-18 12:27:16
155,135,email,40,commit changes,2017-04-18 12:27:17
156,137,email,41,commit changes,2017-04-18 12:35:02
157,144,email,41,commit changes,2017-04-18 14:04:53
158,145,email,41,commit changes,2017-04-18 14:04:54
159,152,email,41,close pull request,2017-04-18 15:05:28
160,153,email,41,automated comment issue,2017-04-18 15:05:41
161,227,email,41,commit changes,2017-04-19 11:04:44
162,139,email,42,ask a question,2017-04-18 12:53:34
163,154,email,42,ask a question,2017-04-18 15:20:06
164,140,email,43,create issue,2017-04-18 13:15:41
165,141,email,43,commit changes,2017-04-18 13:17:12
166,142,email,43,resolve issue,2017-04-18 13:17:41
167,201,email,43,reopen issue,2017-04-19 08:39:41
168,204,email,43,commit changes,2017-04-19 08:48:23
169,205,email,43,resolve issue,2017-04-19 08:49:41
170,143,email,44,ask a question,2017-04-18 13:47:39
171,146,email,44,provide support,2017-04-18 14:05:59
172,155,email,44,close question,2017-04-18 15:37:49
173,166,email,44,provide support,2017-04-19 07:07:12
174,147,email,45,create issue,2017-04-18 14:19:41
175,217,email,45,commit changes,2017-04-19 09:45:35
176,218,email,45,resolve issue,2017-04-19 09:46:41
177,148,email,46,create issue,2017-04-18 14:22:41
178,149,email,46,commit changes,2017-04-18 14:40:02
179,150,email,46,resolve issue,2017-04-18 14:40:41
180,163,email,46,issue comment,2017-04-19 07:05:41
181,164,email,46,reopen issue,2017-04-19 07:06:41
182,165,email,46,issue comment,2017-04-19 07:06:41
183,187,email,46,commit changes,2017-04-19 08:35:46
184,188,email,46,commit changes,2017-04-19 08:35:47
185,189,email,46,commit changes,2017-04-19 08:35:48
186,190,email,46,commit changes,2017-04-19 08:35:49
187,191,email,46,commit changes,2017-04-19 08:35:50
188,192,email,46,commit changes,2017-04-19 08:35:51
189,193,email,46,commit changes,2017-04-19 08:35:52
190,194,email,46,commit changes,2017-04-19 08:35:53
191,195,email,46,commit changes,2017-04-19 08:35:54
192,196,email,46,commit changes,2017-04-19 08:35:55
193,197,email,46,commit changes,2017-04-19 08:35:56
194,198,email,46,commit changes,2017-04-19 08:35:57
195,200,email,46,resolve issue,2017-04-19 08:38:41
196,211,email,46,commit changes,2017-04-19 09:14:38
197,151,email,47,commit changes,2017-04-18 14:53:26
198,157,email,48,issue comment,2017-04-18 21:13:41
199,158,email,48,issue comment,2017-04-18 21:15:42
200,159,email,48,issue comment,2017-04-18 21:18:41
201,182,email,48,commit changes,2017-04-19 08:05:09
202,183,email,48,commit changes,2017-04-19 08:08:27
203,184,email,48,issue comment,2017-04-19 08:10:41
204,185,email,48,commit changes,2017-04-19 08:10:44
205,161,email,49,ask a question,2017-04-19 05:10:16
206,230,email,49,assign issue,2017-04-19 11:37:41
207,231,email,49,open pull request,2017-04-19 11:38:12
208,232,email,49,automated comment issue,2017-04-19 11:38:41
209,173,email,50,create issue,2017-04-19 07:47:41
210,175,email,50,assign issue,2017-04-19 07:56:41
211,178,email,50,issue comment,2017-04-19 08:01:41
212,220,email,50,open pull request,2017-04-19 10:33:12
213,221,email,50,automated comment issue,2017-04-19 10:33:41
214,222,email,50,commit changes,2017-04-19 10:52:10
215,223,email,50,close pull request,2017-04-19 10:52:29
216,224,email,50,automated comment issue,2017-04-19 10:52:41
217,225,email,50,resolve issue,2017-04-19 11:00:47
218,226,email,50,assign issue,2017-04-19 11:00:47
219,186,email,51,build system update,2017-04-19 08:31:14
220,179,email,52,commit changes,2017-04-19 08:02:24
221,180,email,52,close pull request,2017-04-19 08:02:44
222,181,email,52,automated comment issue,2017-04-19 08:03:41
223,199,email,53,commit changes,2017-04-19 08:35:58
224,210,email,53,commit changes,2017-04-19 09:14:37
225,202,email,54,ask a question,2017-04-19 08:42:49
226,207,email,54,provide support,2017-04-19 09:05:02
227,243,email,54,close question,2017-04-19 12:30:24
228,203,email,55,commit changes,2017-04-19 08:44:54
229,206,email,56,build system update,2017-04-19 08:51:49
230,208,email,57,create issue,2017-04-19 09:08:41
231,212,email,57,commit changes,2017-04-19 09:15:57
232,213,email,57,resolve issue,2017-04-19 09:16:41
233,219,email,58,assign issue,2017-04-19 10:18:41
234,228,email,59,issue update,2017-04-19 11:11:41
235,229,email,60,create issue,2017-04-19 11:14:41
236,235,email,61,commit changes,2017-04-19 11:53:09
237,236,email,61,commit changes,2017-04-19 11:53:10
238,237,email,62,commit changes,2017-04-19 11:57:57
239,240,email,62,commit changes,2017-04-19 12:26:53
240,238,email,63,open pull request,2017-04-19 12:21:29
241,245,email,63,commit changes,2017-04-19 12:31:03
242,246,email,63,close pull request,2017-04-19 12:31:17
243,241,email,64,ask a question,2017-04-19 12:27:35
244,242,email,64,ask a question,2017-04-19 12:29:00
245,244,email,64,update question,2017-04-19 12:30:59
246,247,email,64,provide support,2017-04-19 12:35:40
247,248,email,64,ask a question,2017-04-19 13:08:24
248,249,email,64,ask a question,2017-04-19 13:27:36
249,250,email,65,publicity,2017-04-19 13:27:37
